field,article,book,booklet,inbook,incollection,"conference,inproceedings",manual,"mastersthesis,phdthesis",misc,proceedings,techreport,unpublished
address,,o,o,o,o,o,o,o,,o,o,
annote,,,,,,,,,,,,
author,r,r*,o,r*,r,r,o,r,o,,r,r
booktitle,,,,,r,r,,,,,,
chapter,,,,r*,o,,,,,,,
crossref,,,,,,,,,,,,
edition,,o,,o,o,,o,,,,,
editor,,r*,,r*,o,o,,,,o,,
howpublished,,,o,,,,,,o,,,
institution,,,,,,,,,,,r,
journal,r,,,,,,,,,,,
key,,,,,,,,,,,,
month,o,o,o,o,o,o,o,o,o,o,o,o
note,o,o,o,o,o,o,o,o,o,o,o,r
number,o,o*,,o*,o*,o*,,,,o*,o,
organization,,,,,,o,o,,,o,,
pages,o,,,r*,o,o,,,,,,
publisher,,r,,r,r,o,,,,o,,
school,,,,,,,,r,,,,
series,,o,,o,o,o,,,,o,,
title,r,r,r,r,r,r,r,r,o,r,r,r
type,,,,o,o,,,o,,,o,
volume,o,o*,,o*,o*,o*,,,,o*,,
year,r,r,o,r,r,r,o,r,o,r,r,o
