"table","f1","f2","f3","f4","f5","f6","f7","f8","f9","f10","f11","f12","f13"
"entry_fields","**address**",NA,"o","o","o","o","o","o","o",NA,"o","o",NA
"entry_fields","**annote**",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"entry_fields","**author**","x","x","o","x","x","x","o","x","o",NA,"x","x"
"entry_fields","**booktitle**",NA,NA,NA,NA,"x","x",NA,NA,NA,NA,NA,NA
"entry_fields","**chapter**",NA,NA,NA,"x","o",NA,NA,NA,NA,NA,NA,NA
"entry_fields","**crossref**",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"entry_fields","**edition**",NA,"o",NA,"o","o",NA,"o",NA,NA,NA,NA,NA
"entry_fields","**editor**",NA,"x",NA,"x","o","o",NA,NA,NA,"o",NA,NA
"entry_fields","**howpublished**",NA,NA,"o",NA,NA,NA,NA,NA,"o",NA,NA,NA
"entry_fields","**institution**",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x",NA
"entry_fields","**journal**","x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"entry_fields","**key**",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"entry_fields","**month**","o","o","o","o","o","o","o","o","o","o","o","o"
"entry_fields","**note**","o","o","o","o","o","o","o","o","o","o","o","x"
"entry_fields","**number**","o","o",NA,"o","o","o",NA,NA,NA,"o","o",NA
"entry_fields","**organization**",NA,NA,NA,NA,NA,"o","o",NA,NA,"o",NA,NA
"entry_fields","**pages**","o",NA,NA,"x","o","o",NA,NA,NA,NA,NA,NA
"entry_fields","**publisher**",NA,"x",NA,"x","x","o",NA,NA,NA,"o",NA,NA
"entry_fields","**school**",NA,NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,NA
"entry_fields","**series**",NA,"o",NA,"o","o","o",NA,NA,NA,"o",NA,NA
"entry_fields","**title**","x","x","x","x","x","x","x","x","o","x","x","x"
"entry_fields","**type**",NA,NA,NA,"o","o",NA,NA,"o",NA,NA,"o",NA
"entry_fields","**volume**","o","o",NA,"o","o","o",NA,NA,NA,"o",NA,NA
"entry_fields","**year**","x","x","o","x","x","x","o","x","o","x","x","o"
"entry_bib2cff","**\@article**","`article`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"entry_bib2cff","**\@book, \@inbook**","`book`","**\@inbook** is a `book` with **chapter** and/or **pages**",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"entry_bib2cff","**\@booklet**","`pamphlet`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"entry_bib2cff","**\@conference**","`conference-paper`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"entry_bib2cff","**\@incollection**","`generic`","Needs additional fields",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"entry_bib2cff","**\@inproceedings**","`conference-paper`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"entry_bib2cff","**\@manual**","`manual`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"entry_bib2cff","**\@mastersthesis, \@phdthesis**","`thesis`","Identified by `thesis-type`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"entry_bib2cff","**\@misc**","`generic`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"entry_bib2cff","**\@proceedings**","`proceedings`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"entry_bib2cff","**\@techreport**","`report`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"entry_bib2cff","**\@unpublished**","`unpublished`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"entry_cff2bib","`book`","**\@book**, **\@inbook**","**\@inbook** is a `book` with `section` or `start/end` (reference to page number or range).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"entry_cff2bib","`conference, conference-paper`","**\@inproceedings**",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"entry_cff2bib","`article, magazine-article, newspaper-article`","**\@article**",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"entry_cff2bib","`manual`","**\@manual**",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"entry_cff2bib","`pamphlet`","**\@booklet**",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"entry_cff2bib","`proceedings`","**\@proceedings**",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"entry_cff2bib","`report`","**\@techreport**",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"entry_cff2bib","`thesis`","**\@mastersthesis**,  **\@phdthesis**","Using `thesis-type`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"entry_cff2bib","`unpublished`","**\@unpublished**",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"entry_cff2bib","`generic`","**\@misc**, **\@incollection**","**\@incollection** is a `generic` with `year,publisher,collection-title`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"entry_cff2bib","\<`any other value`\>","**\@misc**",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"fields_bib2cff","**address**","Several possibilities","In **BibTeX** it may be the address of a **publisher, conference, organization, institution** or **school**.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"fields_bib2cff","**annote**","Not clear, won't be mapped",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"fields_bib2cff","**author**","`authors`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"fields_bib2cff","**booktitle**","`collection-title`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"fields_bib2cff","**chapter**","`section`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"fields_bib2cff","**crossref**","Not clear, won't be mapped",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"fields_bib2cff","**edition**","`edition`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"fields_bib2cff","**editor**","`editors`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"fields_bib2cff","**howpublished**","`medium`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"fields_bib2cff","**institution, school, organization**","`institution`","No overlapping on **BibteX** requirements",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"fields_bib2cff","**journal**","`journal`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"fields_bib2cff","**key**","Not clear, won't be mapped",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"fields_bib2cff","**month**","`month`","Fallback: information in `date-published`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"fields_bib2cff","**note**","`notes`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"fields_bib2cff","**number**","`issue`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"fields_bib2cff","**pages**","`start` & `end`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"fields_bib2cff","**publisher**","`publisher`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"fields_bib2cff","**series**","`collection-title` if no **booktitle**",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"fields_bib2cff","**title**","`title`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"fields_bib2cff","**type**","Won't be mapped","This is a special key in `CFF` resembling the **BibteX** entry.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"fields_bib2cff","**volume**","`volume`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"fields_bib2cff","**year**","`year`","Fallback: information in `date-published`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"fields_biblatex2cff","**abstract**","`abstract`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"fields_biblatex2cff","**date**","`date-published`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"fields_biblatex2cff","**doi**","`doi`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"fields_biblatex2cff","**file**","`filename`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"fields_biblatex2cff","**isbn**","`isbn`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"fields_biblatex2cff","**issn**","`issn`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"fields_biblatex2cff","**issuetitle**","`issue-title`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"fields_biblatex2cff","**keywords**","`keywords`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"fields_biblatex2cff","**pagetotal**","`pages`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"fields_biblatex2cff","**translator**","`translators`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"fields_biblatex2cff","**url**","`url`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"fields_biblatex2cff","**urldate**","`date-accessed`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"fields_biblatex2cff","**version**","`version`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_article","**\@article**","`type: article, magazine-article,  newspaper-article`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_article","**author** (required)","`authors`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_article","**title** (required)","`title`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_article","**journal** (required)","`journal`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_article","**year** (required)","`year`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_article","**volume**","`volume`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_article","**number**","`issue`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_article","**pages**","`start` and `end`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_article","**month**","`month`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_article","**note**","`notes`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_book","**\@book, \@inbook**","`type: book`","If `section` or `start-end` informed, it would be treated as **\@inbook**",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_book","**author** (required)","`authors`","At least one of **author,editor** required",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_book","**editor** (required)","`editors`","At least one of **author,editor** required",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_book","**title** (required)","`title`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_book","**publisher** (required)","`publisher`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_book","**year** (required)","`year`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_book","**chapter** (required in **\@inbook** only)","`section`","Not even optional in **\@book**",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_book","**pages** (required in **\@inbook** only)","`start` and `end`","Not even optional in **\@book**",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_book","**volume**","`volume`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_book","**number**","`issue`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_book","**series**","`collection-title`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_book","**address**","`address` property of `publisher`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_book","**edition**","`edition`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_book","**month**","`month`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_book","**note**","`notes`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_book","**type**","Ignored","Only optional in **\@inbook**",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_booklet","**\@booklet**","`type: pamphlet`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_booklet","**title** (required)","`title`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_booklet","**author**","`authors`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_booklet","**howpublished**","`medium`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_booklet","**address**","`location`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_booklet","**month**","`month`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_booklet","**year**","`year`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_booklet","**note**","`notes`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_inproceedings","**\@conference / \@inproceedings**","`type: conference-paper, conference`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_inproceedings","**author** (required)","`authors`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_inproceedings","**title** (required)","`title`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_inproceedings","**booktitle** (required)","`collection-title` and `conference`","Additionally `collection-type` would be populated as ""proceedings""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_inproceedings","**year** (required)","`year`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_inproceedings","**editor**","`editors`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_inproceedings","**volume**","`volume`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_inproceedings","**number**","`issue`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_inproceedings","**series**","Ignored",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_inproceedings","**pages**","`start` and `end`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_inproceedings","**address**","`address` property of `conference`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_inproceedings","**month**","`month`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_inproceedings","**organization**","`institution`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_inproceedings","**publisher**","`publisher`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_inproceedings","**note**","`notes`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_incollection","**\@incollection**","`type: generic`","Including a `collection-title` value",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_incollection","**author** (required)","`authors`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_incollection","**title** (required)","`title`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_incollection","**booktitle** (required)","`collection-title`","Additionally `collection-type` would be populated as ""collection""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_incollection","**publisher** (required)","`publisher`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_incollection","**year** (required)","`year`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_incollection","**editor**","`editors`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_incollection","**volume**","`volume`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_incollection","**number**","`issue`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_incollection","**series**","Ignored",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_incollection","**type**","Ignored",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_incollection","**chapter**","`section`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_incollection","**pages**","`start` and `end`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_incollection","**address**","`address` property of `publisher`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_incollection","**edition**","`edition`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_incollection","**month**","`month`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_incollection","**note**","`notes`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_manual","**\@manual**","`type: manual`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_manual","**title** (required)","`title`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model_manual","**author**","`authors`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
